1788016867.814794184	f8:3d:c6:9d:92:4a	ff:ff:ff:ff:ff:ff	60	238
1788016867.814937890	f8:3d:c6:9d:92:4a	ff:ff:ff:ff:ff:ff	60	239
1788016867.815654327	04:68:74:76:1c:87	01:00:5e:00:00:fb	329	240
1788016867.816101145	04:68:74:76:1c:87	01:00:5e:00:00:fb	329	241
1788016867.816263145	c0:09:25:80:64:64	ff:ff:ff:ff:ff:ff	60	242
1788016867.816444521	0e:ef:15:03:c7:1a	ff:ff:ff:ff:ff:ff	60	243
1788016867.816626498	0e:ef:15:03:c7:1a	ff:ff:ff:ff:ff:ff	60	244
1788016867.816805029	0e:ef:15:03:c7:1a	ff:ff:ff:ff:ff:ff	60	245
1788016867.817129009	2a:b5:c4:f2:4c:86	01:00:5e:7f:ff:fa	167	246
1788016867.913409212	ec:74:d7:26:69:94	ff:ff:ff:ff:ff:ff	564	247
1788016867.914261841	ec:74:d7:26:69:94	ff:ff:ff:ff:ff:ff	564	248
1788016867.914382896	3c:64:cf:3b:f6:5b	ff:ff:ff:ff:ff:ff	60	249
1788016867.915273155	c0:74:ad:dc:1f:d0	ff:ff:ff:ff:ff:ff	564	250
1788016867.916120826	c0:74:ad:dc:1f:d0	ff:ff:ff:ff:ff:ff	564	251
1788016867.916411063	60:ff:9e:50:6e:88	01:00:5e:4d:4d:4d	155	252
1788016867.916563947	a0:85:27:fb:cf:b1	ff:ff:ff:ff:ff:ff	60	253
1788016868.015412669	b2:79:97:9b:49:90	01:00:5e:7f:ff:fa	199	254
1788016868.016029953	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	342	255
1788016868.016594249	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	351	256
1788016868.017529111	ec:74:d7:26:8b:60	ff:ff:ff:ff:ff:ff	564	257
1788016868.018274302	ec:74:d7:26:86:78	ff:ff:ff:ff:ff:ff	564	258
1788016868.019038247	be:b3:51:01:2d:df	01:00:5e:00:00:fb	480	259
1788016868.019811309	be:b3:51:01:2d:df	33:33:00:00:00:fb	500	260
1788016868.019822781	f8:3d:c6:d0:66:d0	33:33:00:00:00:16	90	261
1788016868.020096919	f8:3d:c6:d0:66:d0	33:33:00:00:00:16	90	262
1788016868.020232810	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	60	263
1788016868.021224969	ec:74:d7:26:75:48	ff:ff:ff:ff:ff:ff	564	264
1788016868.117646743	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	60	265
1788016868.117658575	f8:3d:c6:d0:66:d0	33:33:00:01:00:03	85	266
1788016868.117658746	f8:3d:c6:d0:66:d0	ff:ff:ff:ff:ff:ff	60	267
1788016868.117917034	f8:3d:c6:d0:66:d0	01:00:5e:00:00:fc	65	268
1788016868.118099162	f8:3d:c6:d0:66:d0	33:33:00:00:00:16	110	269
1788016868.118153041	f8:3d:c6:d0:66:d0	33:33:00:00:00:16	90	270
1788016868.118600450	f8:3d:c6:d0:66:d0	33:33:00:00:00:16	90	271
1788016868.118600781	f4:d1:08:d0:10:5b	ff:ff:ff:ff:ff:ff	60	272
